id,proponente_id,projeto,setor,macrosetor,impacto-esperado,status,alcance geográfico,público-alvo
19,19,Corazon Community (Comunidade Coração),Social,Serviços Sociais,Social,Em andamento,Local,Empresas
20,20,Zenith,Tecnologia,Tecnologia e Inovação,"Econômico, Científico",Em planejamento,Local,Funcionários
21,21,O Que Nos Move?,Psicologia,Saúde e Bem-estar,Social,Em andamento,Local,Funcionários
22,22,Energia Limpa para Todos: Instalação de Painéis Solares em Habitação de Baixa Renda,Energia,Energia e Recursos,"Ambiental, Social",Em andamento,Nacional,Funcionários e Empresas
23,23,Crescimento e Cooperação,Econômico,Economia e Finanças,"Econômico, Social",Em planejamento,Local,População
24,24,Iniciativa de Valorização da Cultura Quilombola em Escolas,Educação Cultural,Educação,Social,Em andamento,Nacional,Consumidores
25,25,Iniciativa Renascer,Desenvolvimento Pessoal,Educação,Social,Em andamento,Local,Consumidores
26,26,ArteAerolito,Arte,Arte e Cultura,Social,Em planejamento,Local,Consumidores
27,27,AGIR (Ações Globais de Impacto e Resposta),Social,Serviços Sociais,"Social, Econômico",Em andamento,Local,Funcionários e Empresas
28,28,ConexãoTech,TI,Tecnologia e Informação,Econômico,Em planejamento,Local,"Consumidores, Empresas e Governo"
29,29,MosaicoMolecular,Bioquímica,Ciência e Pesquisa,Científico,Em andamento,Nacional,Funcionários e Empresas
30,30,Desenvolvimento de Tecnologia para Monitoramento de Desmatamento na Amazônia,"Tecnologia, Meio Ambiente",Tecnologia e Inovação,Ambiental,Em andamento,Local,Funcionários e Empresas
31,31,QuantumQuartzo,Física,Ciência e Pesquisa,Científico,Em andamento,Local,Funcionários
32,32,FísicaFiligrana,Física,Ciência e Pesquisa,Científico,Em planejamento,Local,Funcionários
33,33,Projeto Renovação Empresarial,Desenvolvimento Empresarial,Desenvolvimento Econômico e Empresarial,Econômico,Em andamento,Local,"Consumidores, Empresas e Governo"
34,34,Estudos de Interação Genoma-Ambiente na Psicologia,Científico,Ciência e Pesquisa,"Social, Ambiental",Em andamento,Local,Funcionários
35,35,SmartCity Systems,Tecnologia,Tecnologia e Inovação,"Ambiental, Econômico",Em andamento,Nacional,Funcionários e Empresas
36,36,Iniciativa Diversidade na Totvs,Social,Serviços Sociais,Social,Em andamento,Local,População
37,37,Empreenda Verde: Estímulo ao Empreendedorismo Sustentável,Empreendedorismo Sustentável,Sustentabilidade,"Ambiental, Econômico",Em planejamento,Nacional,Funcionários e Empresas
38,38,Legado Luminoso,Cultural,Arte e Cultura,"Cultural, Social",Em andamento,Local,Empresas
39,39,EcoFerry,Transporte Marítimo,Transporte e Logística,"Ambiental, Econômico",Em andamento,Local,Funcionários
40,40,LíderesEmpatía+,Social,Serviços Sociais,Social,Em planejamento,Nacional,Consumidores
41,41,Desenvolvimento de Tecnologia para Reciclagem de Resíduos Orgânicos,"Tecnologia, Sustentabilidade",Tecnologia e Inovação,Ambiental,Em andamento,Local,Funcionários
42,42,EmpowerWomen: Capacitação Feminina,Desenvolvimento Profissional,Educação,Social,Em andamento,Local,Funcionários
43,43,TechBoost: Impulso Tecnológico para Inovação,Tecnologia,Tecnologia e Inovação,"Econômico, Científico",Em andamento,Local,Consumidores e Empresas
44,44,Escada do Sucesso,Desenvolvimento Pessoal,Educação,"Social, Econômico",Em andamento,Nacional,Empresas
45,45,Tranquillité Technologique (Tranquilidade Tecnológica),Tecnologia,Tecnologia e Inovação,"Econômico, Social",Em andamento,Local,Funcionários
46,46,Manto da Mudança,Social,Serviços Sociais,"Social, Ambiental",Em andamento,Local,Empresas
47,47,GreenLogistics,Sustentabilidade,Sustentabilidade,"Ambiental, Econômico",Em andamento,Nacional,"Consumidores, Empresas e Governo"
48,48,Nêmesis Néctar,Agricultura,Agricultura e Alimentação,"Econômico, Ambiental",Em andamento,Nacional,Empresas
49,49,Davinci Data,Tecnologia,Tecnologia e Inovação,"Econômico, Científico",Em andamento,Local,Funcionários
50,50,Ações de Felicidade na Pharmalife,Saúde,Saúde e Bem-estar,Social,Em andamento,Nacional,Funcionários
51,51,O Que Faz Você Feliz?,Psicologia,Saúde e Bem-estar,Social,Em andamento,Local,Funcionários
52,52,Proyecto de Evaluación de Desempeño,Educação,Educação,Econômico,Em planejamento,Local,Consumidores
53,53,Rede de Empoderamento Juvenil: Programa de Desenvolvimento de Liderança,Desenvolvimento Juvenil,Educação,Social,Em andamento,Nacional,Funcionários
54,54,Caminho Limpo: Redução da Poluição Veicular,"Tecnologia, Meio Ambiente",Tecnologia e Inovação,Ambiental,Em planejamento,Nacional,Funcionários
55,55,Chave do Conhecimento,Educação,Educação,"Social, Científico",Em planejamento,Local,Funcionários
56,56,CleanVehicle Technologies,Tecnologia,Tecnologia e Inovação,"Ambiental, Econômico",Em andamento,Nacional,Funcionários
57,57,Ações de Promoção da Saúde Mental em Hospitais Públicos,Saúde,Saúde e Bem-estar,Social,Em andamento,Local,Funcionários
58,58,Desenvolvimento de Vacinas de RNA Mensageiro,Biotecnologia,Engenharia,Científico,Em andamento,Local,Funcionários
59,59,Reflorestamento e Biodiversidade,Conservação Ambiental,Meio Ambiente,Ambiental,Em andamento,Local,Funcionários
60,60,DesafioCultural,Cultura,Arte e Cultura,Social,Em andamento,Local,População
61,61,Inclusão Digital,"Tecnologia, Educação",Tecnologia e Inovação,Social,Em andamento,Nacional,"Consumidores, Empresas e Governo"
62,62,Ações de Promoção da Diversidade e Inclusão em Instituições de Ensino Médio,Educação,Educação,Social,Em andamento,Local,Empresas
63,63,Tecnologia Verde,Tecnologia,Tecnologia e Inovação,Ambiental,Em planejamento,Local,Funcionários e Empresas
64,64,Qualidade Quântica,Científico,Ciência e Pesquisa,Científico,Em andamento,Local,Funcionários
65,65,Programa de Crescimento Profissional,Educação,Educação,Econômico,Em andamento,Local,Funcionários e Empresas
66,66,AprendizadoAtivo,Educação,Educação,Social,Em andamento,Nacional,Funcionários e Empresas
67,67,Iniciativa de Inclusão Digital em Comunidades Marginalizadas,Tecnologia,Tecnologia e Inovação,Social,Em planejamento,Local,População
68,68,Projeto Impacto Positivo,Sustentabilidade,Sustentabilidade,"Ambiental, Social",Em andamento,Local,Funcionários
69,69,Cápsula do Tempo,Cultura,Arte e Cultura,Social,Em andamento,Local,Funcionários e Empresas
70,70,Iniciativa Diversidade na Vivo,Social,Serviços Sociais,Social,Em andamento,Local,"Consumidores, Empresas e Governo"
71,71,Projeto Equidade na Vale,Social,Serviços Sociais,Social,Em andamento,Local,Empresas
72,72,Ponte para o Amanhã,Sustentabilidade,Sustentabilidade,"Social, Econômico",Em planejamento,Nacional,"Consumidores, Empresas e Governo"
73,73,Rede de Conexões,Tecnologia,Tecnologia e Inovação,"Econômico, Social",Em andamento,Local,"Consumidores, Empresas e Governo"
74,74,Habilidades Holísticas,Educação,Educação,"Social, Científico",Em andamento,Local,População
75,75,GreenTech: Desenvolvimento de Tecnologias Limpas,"Tecnologia, Sustentabilidade",Tecnologia e Inovação,Ambiental,Em andamento,Local,Consumidores e Empresas
76,76,Bastião da Biodiversidade,Conservação Ambiental,Meio Ambiente,Ambiental,Em andamento,Local,Empresas
77,77,Cidades Verdes,"Urbanismo, Sustentabilidade",Desenvolvimento Urbano e Infraestrutura,"Ambiental, Social",Em andamento,Nacional,Funcionários
78,78,EducaCambio,Educação,Educação,Social,Em planejamento,Nacional,População
79,79,FuturoCultural,Cultura,Arte e Cultura,Social,Em andamento,Local,"Consumidores, Empresas e Governo"
80,80,Programa de Planejamento de Carreira,Educação,Educação,"Social, Econômico",Em planejamento,Local,Empresas
81,81,Elevate,Educação,Educação,"Social, Científico",Em andamento,Nacional,"Consumidores, Empresas e Governo"
82,82,Projeto de Inclusão Digital para Idosos em Instituições de Longa Permanência,"Educação, Tecnologia",Educação,Social,Em andamento,Nacional,"Consumidores, Empresas e Governo"
83,83,Asas da Liberdade,Direitos Humanos,Direito e Governança,Social,Em andamento,Local,Consumidores
84,84,Programa de Capacitação em Agricultura Sustentável para Pequenos Produtores,"Educação, Agricultura",Educação,"Ambiental, Social",Em planejamento,Local,Consumidores
85,85,Projeto de Aprendizagem Organizacional,Educação,Educação,"Social, Econômico",Em planejamento,Local,"Consumidores, Empresas e Governo"
86,86,Floresta Viva,Conservação Ambiental,Meio Ambiente,Ambiental,Em andamento,Local,Funcionários
87,87,PACTO (Programa de Ação Comunitária e Transformação Organizacional),Social,Serviços Sociais,"Social, Econômico",Em andamento,Local,Funcionários
88,88,Inspiración Ilimitada (Inspiração Ilimitada),Educação,Educação,"Social, Científico",Em andamento,Local,"Consumidores, Empresas e Governo"
89,89,VOA (Visão Organizada de Ação),Geral,Geral e Diversificado,"Social, Econômico",Em andamento,Local,Consumidores e Empresas
90,90,Medusa de Media,Mídia,Comunicação e Mídia,"Cultural, Social",Em andamento,Local,População
91,91,SOLAR (Soluções Orgânicas e Liderança para Agricultura Responsável),Agricultura,Agricultura e Alimentação,"Ambiental, Econômico",Em planejamento,Nacional,Funcionários
92,92,AcciónTransformadora,Social,Serviços Sociais,Social,Em andamento,Local,Consumidores e Empresas
93,93,Inovação com Intenção,Tecnologia,Tecnologia e Inovação,"Econômico, Científico",Em planejamento,Local,Funcionários e Empresas
94,94,SaúdeSodalita,Saúde,Saúde e Bem-estar,Social,Em andamento,Nacional,"Consumidores, Empresas e Governo"
95,95,Ações de Promoção da Diversidade e Inclusão em Instituições de Ensino Fundamental,Educação,Educação,Social,Em andamento,Local,"Consumidores, Empresas e Governo"
96,96,Campanha de Sensibilização para a Conservação de Espécies Ameaçadas,Sustentabilidade,Sustentabilidade,"Ambiental, Social",Em planejamento,Nacional,Consumidores
97,97,Educação para a Diversidade,Educação,Educação,Social,Em andamento,Local,Consumidores e Empresas
98,98,Engenharia Genética Experimental,Biotecnologia,Engenharia,Científico,Em andamento,Nacional,Consumidores
99,99,Corrente do Bem,Filantropia,Serviços Sociais,Social,Em andamento,Nacional,Funcionários e Empresas
100,100,Tech para Todos: Acesso Digital para Organizações Sem Fins Lucrativos,Tecnologia,Tecnologia e Inovação,Social,Em andamento,Local,Consumidores
101,101,Quando Começar a Agir?,Desenvolvimento Pessoal,Educação,Social,Em andamento,Local,Funcionários e Empresas
102,102,Projeto de Tecnologia na Samsung,Tecnologia,Tecnologia e Inovação,"Científico, Econômico",Em andamento,Nacional,Empresas
103,103,Iniciativa de Inovação na Intel,Tecnologia,Tecnologia e Inovação,"Científico, Econômico",Em planejamento,Nacional,Funcionários
104,104,Programa Empoderamento na Marfrig,Social,Serviços Sociais,Econômico,Em planejamento,Nacional,Funcionários e Empresas
105,105,Jogo de vida,Educação,Educação,"Social, Econômico",Em planejamento,Local,Funcionários e Empresas
106,106,Projeto Transformação,Desenvolvimento Pessoal,Educação,Social,Em planejamento,Local,Funcionários
107,107,O Que Nos Inspira?,Arte e Cultura,Arte e Cultura,Social,Em andamento,Local,Empresas
108,108,TransitVision,TI,Tecnologia e Informação,Econômico,Em planejamento,Local,Empresas
109,109,Quem Seremos Amanhã?,Educação,Educação,Social,Em andamento,Local,Funcionários
110,110,Por Que Reciclar?,Sustentabilidade,Sustentabilidade,Ambiental,Em andamento,Local,"Consumidores, Empresas e Governo"
111,111,Project HOPE: Programa de Assistência Médica para Comunidades Carentes,Saúde,Saúde e Bem-estar,Social,Em planejamento,Nacional,"Consumidores, Empresas e Governo"
112,112,SustentaFuturo,Sustentabilidade,Sustentabilidade,"Ambiental, Social",Em planejamento,Local,Funcionários
113,113,Muralha da Motivação,Social,Serviços Sociais,Social,Em planejamento,Nacional,Funcionários
114,114,DigitalHealth Hub,"Tecnologia, Saúde",Tecnologia e Inovação,"Científico, Econômico",Em andamento,Nacional,Funcionários e Empresas
115,115,SmartEco,Tecnologia,Tecnologia e Inovação,"Ambiental, Econômico",Em andamento,Local,População
116,116,Navegar o Conhecimento,Educação,Educação,"Social, Científico",Em andamento,Nacional,População
117,117,Lápis de Luxor,Educação,Educação,"Cultural, Social",Em planejamento,Nacional,População
118,118,EnviroDrive,Transporte,Transporte e Logística,"Ambiental, Econômico",Em planejamento,Nacional,Consumidores
119,119,Projeto Alegria e Bem-Estar,Saúde Mental,Saúde e Bem-estar,Social,Em andamento,Local,Empresas
120,120,Technologie Tranquille (Tecnologia Tranquila),Tecnologia,Tecnologia e Inovação,"Econômico, Social",Em andamento,Local,Consumidores
121,121,Ferramentas para o Sucesso,Educação,Educação,Econômico,Em planejamento,Local,Consumidores
122,122,EcoGlide,Sustentabilidade,Sustentabilidade,Ambiental,Em andamento,Nacional,Empresas
123,123,CriaçãoSaúde,Inovação em Saúde,Saúde e Inovação,"Social, Científico",Em andamento,Nacional,Consumidores e Empresas
124,124,LIMPA (Liderança e Inovação em Manejo e Proteção Ambiental),Ambiental,Meio Ambiente,Ambiental,Em andamento,Local,Empresas
125,125,Green Horizons: Educação Ambiental para a Juventude,Educação,Educação,"Ambiental, Social",Em andamento,Nacional,"Consumidores, Empresas e Governo"
126,126,Desafio do Desenvolvimento,Educação,Educação,Econômico,Em andamento,Nacional,População
127,127,SustainableShipping,Transporte Marítimo,Transporte e Logística,"Ambiental, Econômico",Em andamento,Local,"Consumidores, Empresas e Governo"
128,128,Lumière Learning (Aprendizado Iluminado),Educação,Educação,"Social, Científico",Em planejamento,Local,Consumidores e Empresas
129,129,Master,Educação,Educação,"Social, Científico",Em planejamento,Nacional,"Consumidores, Empresas e Governo"
130,130,Iniciativa de Desenvolvimento de Resiliência,Educação,Educação,Social,Em andamento,Nacional,Consumidores e Empresas
131,131,Projeto Renascimento,Saúde,Saúde e Bem-estar,Social,Em planejamento,Nacional,"Consumidores, Empresas e Governo"
132,132,Inclusão no Trabalho,Social,Serviços Sociais,Social,Em andamento,Nacional,Consumidores
133,133,ECOAR (Educação Comunitária e Oportunidades de Aprendizado Rural),Educação,Educação,"Social, Ambiental",Em andamento,Nacional,Consumidores e Empresas
134,134,ConstruyeEquidad,Social,Serviços Sociais,Social,Em planejamento,Local,Consumidores e Empresas
135,135,Jardin de Joy (Jardim de Alegria),Ambiental,Meio Ambiente,"Ambiental, Social",Em andamento,Local,Funcionários e Empresas
136,136,Mosaico Multicultural,Multiculturalismo,Direito e Governança,Social,Em planejamento,Local,Consumidores e Empresas
137,137,ImpulsaInnovación,Educação,Educação,Econômico,Em planejamento,Local,Funcionários e Empresas
138,138,HabitatHematita,Ecologia,Meio Ambiente,Ambiental,Em andamento,Local,Consumidores e Empresas
139,139,Programa de Bem-Estar na Intel,Saúde,Saúde e Bem-estar,Social,Em planejamento,Nacional,Funcionários
140,140,EcoBike Sharing,Sustentabilidade,Sustentabilidade,Ambiental,Em planejamento,Local,Funcionários e Empresas
141,141,Programa de Flexibilidade no Trabalho,Recursos Humanos,Gestão e Recursos Humanos,Social,Em planejamento,Local,Empresas
142,142,RISO (Resposta Inovadora para Saúde e Oportunidade),Saúde,Saúde e Bem-estar,"Social, Econômico",Em planejamento,Nacional,"Consumidores, Empresas e Governo"
143,143,REAL (Reforma Educativa para Aprendizagem Livre),Educação,Educação,"Social, Científico",Em planejamento,Nacional,Funcionários e Empresas
144,144,Espelho da Sociedade,Social,Serviços Sociais,Social,Em andamento,Nacional,Funcionários
145,145,Vórtice de Virtudes,Social,Serviços Sociais,"Social, Ético",Em andamento,Local,Funcionários e Empresas
146,146,NúcleoNefrite,Física,Ciência e Pesquisa,Científico,Em andamento,Nacional,Funcionários
147,147,Proyecto Valor+,Social,Serviços Sociais,Social,Em andamento,Local,Empresas
148,148,Beyond Barriers: Inclusão de Refugiados no Mercado de Trabalho,Social,Serviços Sociais,Social,Em andamento,Nacional,Consumidores e Empresas
149,149,Ações de bem-estar e saúde mental na Wacker,Saúde,Saúde e Bem-estar,Social,Em andamento,Local,Consumidores
150,150,EcoMover,Sustentabilidade,Sustentabilidade,Ambiental,Em andamento,Local,Consumidores e Empresas
151,151,Kleos de Conhecimento,Educação,Educação,"Social, Científico",Em andamento,Local,"Consumidores, Empresas e Governo"
152,152,Vela da Visão,Científico,Ciência e Pesquisa,Científico,Em andamento,Nacional,Consumidores
153,153,Empreenda Verde: Incentivo ao Empreendedorismo Sustentável,Empreendedorismo Sustentável,Sustentabilidade,"Ambiental, Econômico",Em planejamento,Local,Empresas
154,154,Desenvolvimento de Tecnologia para Monitoramento de Fauna Silvestre,"Tecnologia, Meio Ambiente",Tecnologia e Inovação,"Ambiental, Científico",Em andamento,Local,Consumidores e Empresas
155,155,Projeto Igualdade na Magazine Luiza,Social,Serviços Sociais,Social,Em planejamento,Local,Empresas
156,156,Programa de Química Orgânica Sintética,Científico,Ciência e Pesquisa,Científico,Em andamento,Local,Funcionários e Empresas
157,157,VórticeVanilla,Meteorologia,Meio Ambiente,Científico,Em andamento,Local,Funcionários
158,158,SmartWaterways,Sustentabilidade,Sustentabilidade,Ambiental,Em planejamento,Nacional,Funcionários e Empresas
159,159,Quem Vai Curar o Mundo?,Saúde,Saúde e Bem-estar,"Social, Científico",Em planejamento,Nacional,População
160,160,Programa de Capacitação em Empreendedorismo para Mulheres em Situação de Vulnerabilidade,Educação,Educação,"Social, Econômico",Em planejamento,Local,Funcionários e Empresas
161,161,Como Conectamos o Mundo?,Telecomunicações,Tecnologia e Comunicação,Econômico,Em andamento,Local,Empresas
162,162,Jovens Líderes para Ação Climática,Climatologia,Meio Ambiente,"Ambiental, Social",Em planejamento,Local,Funcionários e Empresas
163,163,Cielo Claro (Céu Claro),Ambiental,Meio Ambiente,Ambiental,Em andamento,Local,População
164,164,SmartTransit,Tecnologia,Tecnologia e Inovação,"Ambiental, Econômico",Em andamento,Local,População
165,165,Energia Eficiente,Energia,Energia e Recursos,"Econômico, Ambiental",Em planejamento,Local,Consumidores
166,166,DigitalHealth Innovations,Inovações em Saúde Digital,Saúde e Tecnologia,"Social, Científico",Em planejamento,Nacional,Funcionários e Empresas
167,167,BioInova,Biotecnologia,Engenharia,"Científico, Econômico",Em andamento,Nacional,Empresas
168,168,GreenInfrastructure,Infraestrutura Sustentável,Sustentabilidade,"Ambiental, Econômico",Em andamento,Local,Funcionários
169,169,"Clean Streets, Futuro Verde: Projeto de Embellecimento Urbano",Sustentabilidade,Sustentabilidade,"Social, Ambiental",Em planejamento,Nacional,Funcionários
170,170,Youth Empowerment Program: Leadership Development for At-Risk Youth,Desenvolvimento Juvenil,Educação,Social,Em andamento,Local,Consumidores e Empresas
171,171,Construindo o Futuro,Educação,Educação,Econômico,Em planejamento,Local,População
172,172,Quando Nos Tornamos Sustentáveis?,Sustentabilidade,Sustentabilidade,Ambiental,Em andamento,Nacional,Consumidores e Empresas
173,173,EcoTransit,Transporte,Transporte e Logística,"Ambiental, Econômico",Em planejamento,Local,Consumidores
174,174,Campanha de Sensibilização para a Redução do Uso de Plásticos em Praças Públicas,Meio Ambiente,Meio Ambiente,Ambiental,Em andamento,Local,Funcionários
175,175,Estudos de Materiais Fotovoltaicos para Energia Solar,Engenharia de Energia,Engenharia,"Científico, Econômico",Em andamento,Local,Funcionários e Empresas
176,176,DE&I na Gerdau,Social,Serviços Sociais,Social,Em planejamento,Local,Consumidores
177,177,EducaEclipse,Educação,Educação,Social,Em andamento,Nacional,"Consumidores, Empresas e Governo"
178,178,Ações de DE&I na Thyssenkrupp,Social,Serviços Sociais,Social,Em andamento,Local,Consumidores
179,179,Programa de Capacitação em Tecnologia para Pessoas com Deficiência Auditiva,"Educação, Tecnologia",Educação,Social,Em planejamento,Local,Funcionários
180,180,Onda de Mudança,Desenvolvimento Social,Desenvolvimento Comunitário,"Social, Ambiental",Em andamento,Local,Funcionários
181,181,Engenharia de Materiais Inteligentes,Engenharia de Materiais,Engenharia,"Científico, Econômico",Em andamento,Local,Funcionários
182,182,Por Que Escolher Este Caminho?,Desenvolvimento de Carreira,Educação,"Social, Econômico",Em andamento,Local,Funcionários
183,183,Hércules de Hidroponia,Agricultura,Agricultura e Alimentação,"Ambiental, Econômico",Em andamento,Nacional,Empresas
184,184,Campanha de Conscientização sobre Consumo Responsável de Moda Infantil,Sustentabilidade,Sustentabilidade,"Social, Ambiental",Em planejamento,Local,Consumidores
185,185,TransTech Innovations,Inovações em Tecnologia de Transporte,Transporte e Tecnologia,"Econômico, Ambiental",Em planejamento,Nacional,Consumidores e Empresas
186,186,Novos Nascimentos,Saúde,Saúde e Bem-estar,"Social, Científico",Em andamento,Local,Consumidores
187,187,Ícaro Inovador,Tecnologia,Tecnologia e Inovação,"Econômico, Científico",Em andamento,Local,Empresas
188,188,Programa de Resiliência,Educação,Educação,Social,Em planejamento,Local,Funcionários
189,189,Quem Protege o Planeta?,Ambientalismo,Meio Ambiente,Ambiental,Em andamento,Local,"Consumidores, Empresas e Governo"
190,190,Programa de Capacitação em Empreendedorismo para Mulheres Chefes de Família,Educação,Educação,"Social, Econômico",Em andamento,Nacional,Empresas
191,191,GreenJet,Aviação Sustentável,Sustentabilidade,"Ambiental, Econômico",Em andamento,Nacional,Consumidores e Empresas
192,192,Talentos em Transformação,Educação,Educação,"Social, Econômico",Em andamento,Local,Funcionários
193,193,DesenvolveFuturo,Educação,Educação,Econômico,Em andamento,Local,Funcionários
194,194,Projeto Igualdade na BR Distribuidora,Social,Serviços Sociais,Social,Em planejamento,Local,"Consumidores, Empresas e Governo"
195,195,Inovação em Robótica Biomimética,Tecnologia,Tecnologia e Inovação,"Científico, Econômico",Em andamento,Local,"Consumidores, Empresas e Governo"
196,196,VidaVerde,Ambiental,Meio Ambiente,"Ambiental, Social",Em andamento,Local,Funcionários
197,197,EducaLiderazgo,Educação,Educação,Econômico,Em andamento,Local,População
198,198,Apoio na agenda de descarbonização na cadeia de suprimentos,Sustentabilidade,Sustentabilidade,Ambiental,Em andamento,Local,Consumidores e Empresas
199,199,Programa de Estudos de Ecossistemas Marinhos,Ecologia Marinha,Meio Ambiente,"Científico, Ambiental",Em planejamento,Nacional,Consumidores
200,200,Quero Querer,Psicologia,Saúde e Bem-estar,Social,Em planejamento,Local,Funcionários
201,201,Hermes Health,Saúde,Saúde e Bem-estar,"Social, Científico",Em andamento,Local,Funcionários
202,202,Beyond Borders: Integração de Refugiados no Mercado de Trabalho,Social,Serviços Sociais,Social,Em planejamento,Local,Empresas
203,203,Éden Ecológico,Ambiental,Meio Ambiente,Ambiental,Em andamento,Local,Consumidores
204,204,CresceCriativo,Educação,Educação,"Social, Econômico",Em andamento,Local,Consumidores e Empresas
205,205,Arco do Desenvolvimento,Economia,Economia e Finanças,Econômico,Em andamento,Nacional,Consumidores e Empresas
206,206,Projeto de Inteligência Emocional,Educação,Educação,Social,Em andamento,Local,Funcionários e Empresas
207,207,MarítimoModerno,Marítimo,Transporte e Logística,"Econômico, Ambiental",Em andamento,Nacional,Funcionários e Empresas
208,208,EcoSpeed,Transporte,Transporte e Logística,"Ambiental, Econômico",Em planejamento,Nacional,Empresas
209,209,WirelessWolframita,Telecomunicações,Tecnologia e Comunicação,Econômico,Em andamento,Nacional,População
210,210,Estudos de Mecânica Quântica com Circuitos Supercondutores,Física Quântica,Ciência e Pesquisa,Científico,Em planejamento,Local,Empresas
211,211,Iniciativa de Mentoría Profesional,Educação,Educação,Econômico,Em andamento,Nacional,Funcionários
212,212,Desenvolvimento de Tecnologia para Monitoramento de Deslizamentos de Terra,Tecnologia,Tecnologia e Inovação,"Científico, Ambiental",Em andamento,Nacional,"Consumidores, Empresas e Governo"
213,213,Resiliência Robusta,Sustentabilidade,Sustentabilidade,"Ambiental, Social",Em andamento,Local,Empresas
214,214,Astronomia Observacional com Telescópios Espaciais,Astronomia,Ciência e Pesquisa,Científico,Em andamento,Nacional,"Consumidores, Empresas e Governo"
215,215,Fortalecendo Relações,Educação,Educação,Social,Em planejamento,Nacional,Consumidores e Empresas
216,216,Programa Respire,Saúde,Saúde e Bem-estar,Social,Em andamento,Nacional,Funcionários e Empresas
217,217,Iniciativa Diversidade na Kroton,Social,Serviços Sociais,Social,Em planejamento,Local,Funcionários
218,218,Projeto de Implantação de Sistemas de Energia Eólica em Comunidades Costeiras,Energia,Energia e Recursos,Ambiental,Em andamento,Local,Funcionários
219,219,Projeto Conexão Pessoal,Social,Serviços Sociais,Social,Em andamento,Local,Empresas
220,220,EducaSustentável,Educação Ambiental,Educação e Meio Ambiente,"Social, Ambiental",Em andamento,Local,População
221,221,Projeto de Diversidade na Disney,Social,Serviços Sociais,Social,Em andamento,Nacional,Funcionários
222,222,Lumière de Lune (Luz da Lua),Cultura,Arte e Cultura,Cultural,Em andamento,Nacional,Empresas
223,223,Movimento Transparência 100%,Governança,Direito e Governança,"Econômico, Social",Em andamento,Local,Funcionários
224,224,Construção de Equipes,Educação,Educação,Econômico,Em andamento,Local,Empresas
225,225,FutureMobility,TI,Tecnologia e Informação,Econômico,Em andamento,Nacional,Funcionários
226,226,IA generativa e ciência de dados,Tecnologia,Tecnologia e Inovação,"Científico, Econômico",Em andamento,Local,"Consumidores, Empresas e Governo"
227,227,Biblioteca de Babel,Educação,Educação,"Social, Científico",Em planejamento,Local,Funcionários e Empresas
228,228,IA em Reconhecimento de Padrões Neurais,Inteligência Artificial,Tecnologia e Dados,Científico,Em andamento,Nacional,Consumidores e Empresas
229,229,IdeiaIridescente,Inovação,Empreendedorismo e Inovação,"Econômico, Científico",Em planejamento,Local,Consumidores
230,230,WonderWealth,Finanças,Economia e Finanças,Econômico,Em andamento,Local,Consumidores e Empresas
231,231,Lanterna da Liberdade,Social,Serviços Sociais,"Social, Cultural",Em planejamento,Local,"Consumidores, Empresas e Governo"
